0.0,L37,L
0.1,H31,H
0.2,F31NE,F
0.3,L32,L
0.4,H21,H
1.0,H32,H
1.1,L21,L
1.2,F05NE,F
1.3,M29SA,F
1.4,H30,H
2.0,H03,H
2.1,L27,L
2.2,M13AN,F
2.3,F05DI,F
2.4,H24,H
3.0,H07,H
3.1,F05AN,F
3.2,L28,L
3.3,H35,H
3.4,F31AN,F
4.0,H15,H
4.1,M23SA,F
4.2,L36,L
4.3,H26,H
4.4,L11,L
5.0,H08,H
5.1,L34,L
5.2,F16SA,F
5.3,H29,H
5.4,L05,L
6.0,F28NE,F
6.1,L35,L
6.2,H23,H
6.3,F31SA,F
6.4,L29,L
7.0,M13HA,F
7.1,L16,L
7.2,H19,H
7.3,L07,L
7.4,M13DI,F
8.0,L01,L
8.1,H12,H
8.2,M29NE,F
8.3,H01,H
8.4,M10SA,F
9.0,F05HA,F
9.1,L30,L
9.2,H06,H
9.3,M13NE,F
9.4,L04,L
10.0,F16DI,F
10.1,L25,L
10.2,H04,H
10.3,L23,L
10.4,H02,H
11.0,H34,H
11.1,L33,L
11.2,F16NE,F
11.3,L24,L
11.4,H28,H
12.0,M13SA,F
12.1,H13,H
12.2,L15,L
12.3,M29DI,F
12.4,H40,H
13.0,M29HA,F
13.1,L39,L
13.2,H18,H
13.3,L03,L
13.4,H10,H
14.0,M10NE,F
14.1,H09,H
14.2,L17,L
14.3,M23AN,F
14.4,L06,L
15.0,H05,H
15.1,M10AN,F
15.2,L10,L
15.3,F28HA,F
15.4,H22,H
16.0,F28SA,F
16.1,L38,L
16.2,H16,H
16.3,F28AN,F
16.4,L08,L
17.0,F31HA,F
17.1,H38,H
17.2,L12,L
17.3,F05SA,F
17.4,L14,L
18.0,H27,H
18.1,M23DI,F
18.2,L18,L
18.3,M23HA,F
18.4,L09,L
19.0,H37,H
19.1,M23NE,F
19.2,L13,L
19.3,H17,H
19.4,L19,L
20.0,F16HA,F
20.1,L40,L
20.2,H36,H
20.3,L02,L
20.4,H14,H
21.0,F16AN,F
21.1,H33,H
21.2,L26,L
21.3,F31DI,F
21.4,L20,L
22.0,H39,H
22.1,M10HA,F
22.2,L22,L
22.3,F28DI,F
22.4,H11,H
23.0,M10DI,F
23.1,L31,L
23.2,H25,H
23.3,M29AN,F
23.4,H20,H
