17.1,F05NE,F,P008,17.1,F,-16.866666666666674,-60.30222222222227,208,32,-23.93333333333328,25.22074074074078,138,14,-38.866666666666674,31.573333333333267,166,28,39.26666666666665,24.46222222222218,326,26,21.26666666666665,-79.83407407407407,386
21.4,F16NE,F,P008,21.4,F,-8.866666666666674,-154.3585185185184,140,24,-6.399999999999977,-66.56,158,26,-30.66666666666663,7.7748148148148175,144,14,-45.799999999999955,7.395555555555461,244,42,71.93333333333328,11.662222222222226,168
5.1,F28NE,F,P008,5.1,F,-12.399999999999977,-87.7037037037037,224,26,-38.66666666666663,7.7748148148148175,136,14,-55.133333333333326,5.499259259259247,272,32,45.60000000000002,-2.8444444444444343,198,34,-11.799999999999955,-136.62814814814817,202
10.3,L01,L,P008,10.3,L,-10.0,50.15703703703707,148,32,-9.866666666666674,-65.13777777777779,178,22,-38.73333333333335,-17.82518518518515,466,42,13.733333333333348,-159.8577777777778,264,18,35.4666666666667,-156.72888888888878,222
17.2,L03,L,P008,17.2,L,-4.533333333333303,-98.51259259259257,262,12,-15.399999999999977,-80.49777777777774,406,14,1.6000000000000227,-79.54962962962964,168,28,-31.399999999999977,-193.04296296296297,134,22,-56.66666666666663,-210.48888888888888,860
15.2,L04,L,P008,15.2,L,-37.26666666666665,372.5274074074074,126,58,-3.2666666666666515,58.97481481481486,102,46,6.2000000000000455,-116.81185185185183,248,14,-2.533333333333303,-91.68592592592591,234,32,-1.6000000000000227,-171.33037037037042,194
19.0,L05,L,P008,19.0,L,14.200000000000045,-1.4222222222222172,322,20,-5.133333333333326,-12.51555555555558,158,42,20.93333333333328,-197.4992592592592,238,60,-47.0,67.88740740740741,284,22,-21.06666666666672,70.06814814814811,160
12.4,L06,L,P008,12.4,L,-2.2000000000000455,-80.40296296296287,494,26,-38.39999999999998,-182.61333333333334,276,12,-27.200000000000045,-203.66222222222217,180,122,1.466666666666697,-74.42962962962963,880,24,-17.533333333333303,-14.601481481481471,450
10.0,L07,L,P008,10.0,L,15.93333333333328,32.805925925925976,292,22,12.733333333333348,-21.712592592592557,258,136,56.26666666666665,-48.260740740740744,224,20,42.33333333333337,-20.29037037037034,648,28,1.6666666666666288,-77.08444444444433,318
23.0,L08,L,P008,23.0,L,4.533333333333303,63.81037037037038,212,28,5.7333333333333485,176.64,296,250,25.133333333333326,-74.33481481481482,300,54,-2.0666666666667197,113.30370370370372,228,32,2.7999999999999545,231.72740740740744,430
