0.0,L40,L
0.1,H13,H
0.2,M13SA,F
0.3,H35,H
0.4,M10NE,F
1.0,H36,H
1.1,F28SA,F
1.2,L21,L
1.3,F16AN,F
1.4,L15,L
2.0,H15,H
2.1,M13HA,F
2.2,L27,L
2.3,H09,H
2.4,L07,L
3.0,L38,L
3.1,F28NE,F
3.2,H20,H
3.3,M29SA,F
3.4,H12,H
4.0,L28,L
4.1,M23SA,F
4.2,H21,H
4.3,L29,L
4.4,H02,H
5.0,M10SA,F
5.1,H27,H
5.2,L04,L
5.3,M29DI,F
5.4,L16,L
6.0,L17,L
6.1,F05SA,F
6.2,H33,H
6.3,L37,L
6.4,H14,H
7.0,F05NE,F
7.1,L20,L
7.2,H03,H
7.3,L13,L
7.4,F31HA,F
8.0,L31,L
8.1,H04,H
8.2,M13NE,F
8.3,H31,H
8.4,F05AN,F
9.0,M10HA,F
9.1,L09,L
9.2,H25,H
9.3,L11,L
9.4,M23DI,F
10.0,H16,H
10.1,F31SA,F
10.2,L24,L
10.3,M29HA,F
10.4,L30,L
11.0,H06,H
11.1,F16DI,F
11.2,L22,L
11.3,H11,H
11.4,M23HA,F
12.0,L05,L
12.1,M10DI,F
12.2,H37,H
12.3,L19,L
12.4,F16NE,F
13.0,F16HA,F
13.1,L18,L
13.2,H23,H
13.3,M23NE,F
13.4,H26,H
14.0,F28DI,F
14.1,L26,L
14.2,H22,H
14.3,L10,L
14.4,H32,H
15.0,H08,H
15.1,F16SA,F
15.2,L25,L
15.3,F28HA,F
15.4,L02,L
16.0,H30,H
16.1,L39,L
16.2,M29NE,F
16.3,H39,H
16.4,F31NE,F
17.0,L06,L
17.1,H05,H
17.2,M13DI,F
17.3,H01,H
17.4,L36,L
18.0,H38,H
18.1,L08,L
18.2,M29AN,F
18.3,H07,H
18.4,M10AN,F
19.0,M13AN,F
19.1,H19,H
19.2,L35,L
19.3,H24,H
19.4,L33,L
20.0,M23AN,F
20.1,L12,L
20.2,H34,H
20.3,L34,L
20.4,F05DI,F
21.0,F05HA,F
21.1,H10,H
21.2,L03,L
21.3,H17,H
21.4,L32,L
22.0,L01,L
22.1,H40,H
22.2,F28AN,F
22.3,L14,L
22.4,H29,H
23.0,H28,H
23.1,F31AN,F
23.2,L23,L
23.3,F31DI,F
23.4,H18,H
