0.0,H14,H
0.1,F28HA,F
0.2,L09,L
0.3,M13HA,F
0.4,L13,L
1.0,H22,H
1.1,L37,L
1.2,F31NE,F
1.3,L04,L
1.4,H40,H
2.0,L26,L
2.1,H25,H
2.2,M23NE,F
2.3,L32,L
2.4,M29NE,F
3.0,H06,H
3.1,L10,L
3.2,M29DI,F
3.3,H01,H
3.4,M13DI,F
4.0,H28,H
4.1,L35,L
4.2,F16AN,F
4.3,L21,L
4.4,M10SA,F
5.0,L17,L
5.1,H03,H
5.2,F31AN,F
5.3,L30,L
5.4,H11,H
6.0,H21,H
6.1,L29,L
6.2,F28AN,F
6.3,H37,H
6.4,F05AN,F
7.0,L19,L
7.1,H27,H
7.2,F16DI,F
7.3,M23SA,F
7.4,H23,H
8.0,H07,H
8.1,M29AN,F
8.2,L01,L
8.3,F31HA,F
8.4,L40,L
9.0,H02,H
9.1,F05NE,F
9.2,L39,L
9.3,M23AN,F
9.4,L38,L
10.0,H29,H
10.1,L05,L
10.2,M29SA,F
10.3,H38,H
10.4,M10DI,F
11.0,L11,L
11.1,F16NE,F
11.2,H34,H
11.3,M10AN,F
11.4,H10,H
12.0,H20,H
12.1,M10NE,F
12.2,L20,L
12.3,H05,H
12.4,L24,L
13.0,F05HA,F
13.1,H33,H
13.2,L31,L
13.3,H39,H
13.4,L23,L
14.0,F28SA,F
14.1,L33,L
14.2,H08,H
14.3,F16SA,F
14.4,L03,L
15.0,H36,H
15.1,M13NE,F
15.2,L12,L
15.3,H26,H
15.4,L28,L
16.0,H30,H
16.1,L25,L
16.2,M29HA,F
16.3,L15,L
16.4,M23DI,F
17.0,F31DI,F
17.1,H12,H
17.2,L22,L
17.3,F05SA,F
17.4,L36,L
18.0,H35,H
18.1,L16,L
18.2,F28DI,F
18.3,M13SA,F
18.4,H32,H
19.0,L14,L
19.1,M23HA,F
19.2,H04,H
19.3,L27,L
19.4,H19,H
20.0,L18,L
20.1,F28NE,F
20.2,H16,H
20.3,M10HA,F
20.4,H13,H
21.0,H15,H
21.1,L08,L
21.2,F05DI,F
21.3,L07,L
21.4,H18,H
22.0,H24,H
22.1,F31SA,F
22.2,L34,L
22.3,F16HA,F
22.4,H09,H
23.0,L06,L
23.1,M13AN,F
23.2,H31,H
23.3,L02,L
23.4,H17,H
