0.0,H31,H
0.1,L09,L
0.2,M23AN,F
0.3,H20,H
0.4,M13SA,F
1.0,L12,L
1.1,H09,H
1.2,F28DI,F
1.3,H16,H
1.4,L01,L
2.0,L27,L
2.1,H10,H
2.2,M29HA,F
2.3,L06,L
2.4,F05AN,F
3.0,M13AN,F
3.1,H02,H
3.2,L39,L
3.3,M13NE,F
3.4,L10,L
4.0,H17,H
4.1,M10SA,F
4.2,L20,L
4.3,H12,H
4.4,F31NE,F
5.0,H33,H
5.1,M23DI,F
5.2,L19,L
5.3,H19,H
5.4,L17,L
6.0,M29AN,F
6.1,H35,H
6.2,L11,L
6.3,H06,H
6.4,L05,L
7.0,L40,L
7.1,H29,H
7.2,F31DI,F
7.3,M29NE,F
7.4,H32,H
8.0,H15,H
8.1,L14,L
8.2,F05NE,F
8.3,M23SA,F
8.4,L13,L
9.0,L15,L
9.1,H07,H
9.2,F05DI,F
9.3,L23,L
9.4,H30,H
10.0,H04,H
10.1,F31SA,F
10.2,L33,L
10.3,F16HA,F
10.4,L07,L
11.0,H11,H
11.1,F16SA,F
11.2,L16,L
11.3,M29DI,F
11.4,H24,H
12.0,F16DI,F
12.1,H14,H
12.2,L31,L
12.3,M23NE,F
12.4,H36,H
13.0,H08,H
13.1,L36,L
13.2,F16AN,F
13.3,L24,L
13.4,M10NE,F
14.0,L25,L
14.1,M10DI,F
14.2,H13,H
14.3,L03,L
14.4,H25,H
15.0,L08,L
15.1,M13HA,F
15.2,H37,H
15.3,L34,L
15.4,H22,H
16.0,F28NE,F
16.1,H26,H
16.2,L02,L
16.3,F31AN,F
16.4,H38,H
17.0,H18,H
17.1,F28HA,F
17.2,L32,L
17.3,H27,H
17.4,L37,L
18.0,F05HA,F
18.1,H03,H
18.2,L04,L
18.3,M10AN,F
18.4,L35,L
19.0,H01,H
19.1,M29SA,F
19.2,L28,L
19.3,M10HA,F
19.4,H23,H
20.0,H39,H
20.1,L26,L
20.2,M13DI,F
20.3,L22,L
20.4,F16NE,F
21.0,L29,L
21.1,M23HA,F
21.2,H05,H
21.3,F31HA,F
21.4,H34,H
22.0,L30,L
22.1,F28AN,F
22.2,H28,H
22.3,L38,L
22.4,F28SA,F
23.0,F05SA,F
23.1,L18,L
23.2,H21,H
23.3,L21,L
23.4,H40,H
