0.0,L26,L
0.1,M10HA,F
0.2,H32,H
0.3,L23,L
0.4,H31,H
1.0,F05HA,F
1.1,L27,L
1.2,H30,H
1.3,L11,L
1.4,H10,H
2.0,H07,H
2.1,M23SA,F
2.2,L03,L
2.3,M10NE,F
2.4,H19,H
3.0,H39,H
3.1,L34,L
3.2,M13HA,F
3.3,L36,L
3.4,F05AN,F
4.0,H33,H
4.1,F28DI,F
4.2,L33,L
4.3,M23AN,F
4.4,H01,H
5.0,L18,L
5.1,F16AN,F
5.2,H35,H
5.3,F28HA,F
5.4,L25,L
6.0,H36,H
6.1,F31NE,F
6.2,L39,L
6.3,H24,H
6.4,L08,L
7.0,H29,H
7.1,M10SA,F
7.2,L02,L
7.3,H04,H
7.4,L28,L
8.0,F28NE,F
8.1,L37,L
8.2,H02,H
8.3,L05,L
8.4,H17,H
9.0,M13DI,F
9.1,H09,H
9.2,L09,L
9.3,F05SA,F
9.4,H05,H
10.0,M13AN,F
10.1,H37,H
10.2,L04,L
10.3,H40,H
10.4,L29,L
11.0,L40,L
11.1,H12,H
11.2,F31SA,F
11.3,M29NE,F
11.4,L13,L
12.0,M29AN,F
12.1,L30,L
12.2,H11,H
12.3,M23DI,F
12.4,H03,H
13.0,L32,L
13.1,H38,H
13.2,F28SA,F
13.3,L14,L
13.4,F31AN,F
14.0,F05NE,F
14.1,H14,H
14.2,L35,L
14.3,H13,H
14.4,F16HA,F
15.0,M23HA,F
15.1,L10,L
15.2,H27,H
15.3,L19,L
15.4,H15,H
16.0,H23,H
16.1,L12,L
16.2,M29SA,F
16.3,L31,L
16.4,M29DI,F
17.0,F16NE,F
17.1,H22,H
17.2,L01,L
17.3,M23NE,F
17.4,L38,L
18.0,L17,L
18.1,H16,H
18.2,M10AN,F
18.3,F31HA,F
18.4,H34,H
19.0,M29HA,F
19.1,H21,H
19.2,L24,L
19.3,H26,H
19.4,M13SA,F
20.0,H18,H
20.1,M13NE,F
20.2,L20,L
20.3,F16DI,F
20.4,L15,L
21.0,M10DI,F
21.1,H25,H
21.2,L21,L
21.3,H28,H
21.4,L07,L
22.0,L06,L
22.1,F05DI,F
22.2,H08,H
22.3,F28AN,F
22.4,H06,H
23.0,F31DI,F
23.1,H20,H
23.2,L16,L
23.3,F16SA,F
23.4,L22,L
