0.0,F31NE,F
0.1,H06,H
0.2,L12,L
0.3,H07,H
0.4,L17,L
1.0,L28,L
1.1,M29SA,F
1.2,H11,H
1.3,L16,L
1.4,H17,H
2.0,M10SA,F
2.1,L01,L
2.2,H05,H
2.3,F05SA,F
2.4,L07,L
3.0,H37,H
3.1,L14,L
3.2,M10HA,F
3.3,F16AN,F
3.4,L36,L
4.0,M29NE,F
4.1,L30,L
4.2,H20,H
4.3,F28NE,F
4.4,H22,H
5.0,H18,H
5.1,L22,L
5.2,M23AN,F
5.3,L05,L
5.4,H14,H
6.0,F31SA,F
6.1,H38,H
6.2,L23,L
6.3,F05AN,F
6.4,H10,H
7.0,M29DI,F
7.1,H13,H
7.2,L39,L
7.3,F16NE,F
7.4,H31,H
8.0,H33,H
8.1,L10,L
8.2,F16DI,F
8.3,L34,L
8.4,H08,H
9.0,H27,H
9.1,F31AN,F
9.2,L32,L
9.3,H26,H
9.4,L26,L
10.0,H35,H
10.1,L02,L
10.2,F28DI,F
10.3,L11,L
10.4,M29HA,F
11.0,L27,L
11.1,H12,H
11.2,F16SA,F
11.3,L09,L
11.4,H28,H
12.0,L37,L
12.1,F05DI,F
12.2,H23,H
12.3,L24,L
12.4,H25,H
13.0,H29,H
13.1,M23SA,F
13.2,L08,L
13.3,M10AN,F
13.4,H40,H
14.0,H36,H
14.1,L19,L
14.2,F28AN,F
14.3,L40,L
14.4,F31DI,F
15.0,F28HA,F
15.1,H39,H
15.2,L04,L
15.3,F16HA,F
15.4,H21,H
16.0,L29,L
16.1,M13AN,F
16.2,H15,H
16.3,L33,L
16.4,F05HA,F
17.0,M29AN,F
17.1,L21,L
17.2,H32,H
17.3,L03,L
17.4,H01,H
18.0,M13NE,F
18.1,L25,L
18.2,H02,H
18.3,L20,L
18.4,M23HA,F
19.0,M10NE,F
19.1,L18,L
19.2,H24,H
19.3,L35,L
19.4,M13DI,F
20.0,L06,L
20.1,F31HA,F
20.2,H34,H
20.3,M10DI,F
20.4,H09,H
21.0,M23NE,F
21.1,H30,H
21.2,L15,L
21.3,F28SA,F
21.4,H16,H
22.0,M13HA,F
22.1,L38,L
22.2,H03,H
22.3,M23DI,F
22.4,H19,H
23.0,L31,L
23.1,H04,H
23.2,M13SA,F
23.3,F05NE,F
23.4,L13,L
