0.0,F31SA,F
0.1,H34,H
0.2,L10,L
0.3,H17,H
0.4,L18,L
1.0,L40,L
1.1,H13,H
1.2,M23NE,F
1.3,H29,H
1.4,L21,L
2.0,H38,H
2.1,M29AN,F
2.2,L30,L
2.3,F31HA,F
2.4,L17,L
3.0,L11,L
3.1,F16NE,F
3.2,H26,H
3.3,M10DI,F
3.4,H10,H
4.0,M13DI,F
4.1,H15,H
4.2,L02,L
4.3,M29SA,F
4.4,L13,L
5.0,L33,L
5.1,F28DI,F
5.2,H39,H
5.3,L36,L
5.4,H32,H
6.0,L24,L
6.1,M23SA,F
6.2,H37,H
6.3,F28NE,F
6.4,H21,H
7.0,F05AN,F
7.1,L12,L
7.2,H36,H
7.3,L22,L
7.4,H02,H
8.0,L28,L
8.1,H04,H
8.2,M10NE,F
8.3,L32,L
8.4,M29NE,F
9.0,L05,L
9.1,M10AN,F
9.2,H35,H
9.3,F31NE,F
9.4,H27,H
10.0,L15,L
10.1,M13HA,F
10.2,H40,H
10.3,F16HA,F
10.4,H11,H
11.0,H20,H
11.1,F31DI,F
11.2,L20,L
11.3,M29DI,F
11.4,L25,L
12.0,H14,H
12.1,M29HA,F
12.2,L07,L
12.3,M10HA,F
12.4,L35,L
13.0,M10SA,F
13.1,H31,H
13.2,L03,L
13.3,F31AN,F
13.4,L09,L
14.0,H16,H
14.1,L39,L
14.2,F16AN,F
14.3,H19,H
14.4,L06,L
15.0,F28HA,F
15.1,L38,L
15.2,H30,H
15.3,L08,L
15.4,H22,H
16.0,F28AN,F
16.1,H03,H
16.2,L34,L
16.3,H08,H
16.4,L19,L
17.0,M13AN,F
17.1,H12,H
17.2,L01,L
17.3,H01,H
17.4,F05HA,F
18.0,L16,L
18.1,F28SA,F
18.2,H28,H
18.3,M23HA,F
18.4,H24,H
19.0,L14,L
19.1,F05NE,F
19.2,H23,H
19.3,L04,L
19.4,H06,H
20.0,H07,H
20.1,M13NE,F
20.2,L37,L
20.3,M23AN,F
20.4,L29,L
21.0,H33,H
21.1,M13SA,F
21.2,L27,L
21.3,M23DI,F
21.4,L26,L
22.0,L23,L
22.1,H25,H
22.2,F05SA,F
22.3,H18,H
22.4,F16DI,F
23.0,F16SA,F
23.1,L31,L
23.2,H05,H
23.3,F05DI,F
23.4,H09,H
