0.0,L14,L
0.1,H10,H
0.2,M29SA,F
0.3,L13,L
0.4,M29NE,F
1.0,L19,L
1.1,H32,H
1.2,F16AN,F
1.3,M29DI,F
1.4,H21,H
2.0,M23AN,F
2.1,L01,L
2.2,H24,H
2.3,L34,L
2.4,M10DI,F
3.0,F05SA,F
3.1,L04,L
3.2,H11,H
3.3,F16HA,F
3.4,H20,H
4.0,F16NE,F
4.1,H19,H
4.2,L36,L
4.3,H01,H
4.4,L22,L
5.0,H17,H
5.1,L17,L
5.2,M23HA,F
5.3,H15,H
5.4,M13NE,F
6.0,F28NE,F
6.1,L23,L
6.2,H07,H
6.3,L37,L
6.4,H37,H
7.0,L35,L
7.1,F31AN,F
7.2,H18,H
7.3,L39,L
7.4,M10HA,F
8.0,H25,H
8.1,M13DI,F
8.2,L31,L
8.3,H31,H
8.4,L40,L
9.0,H23,H
9.1,M10NE,F
9.2,L16,L
9.3,M29AN,F
9.4,L29,L
10.0,H36,H
10.1,L18,L
10.2,M10SA,F
10.3,L32,L
10.4,F05HA,F
11.0,M23NE,F
11.1,H28,H
11.2,L03,L
11.3,H27,H
11.4,M23SA,F
12.0,F28SA,F
12.1,L02,L
12.2,H06,H
12.3,M23DI,F
12.4,L28,L
13.0,H29,H
13.1,F05NE,F
13.2,L24,L
13.3,H26,H
13.4,M10AN,F
14.0,H35,H
14.1,F28AN,F
14.2,L30,L
14.3,H39,H
14.4,L08,L
15.0,L10,L
15.1,F05AN,F
15.2,H33,H
15.3,F28HA,F
15.4,H34,H
16.0,L26,L
16.1,H12,H
16.2,F28DI,F
16.3,H38,H
16.4,L09,L
17.0,F31DI,F
17.1,H13,H
17.2,L05,L
17.3,M13SA,F
17.4,L20,L
18.0,M13AN,F
18.1,H40,H
18.2,L27,L
18.3,H04,H
18.4,L15,L
19.0,F31NE,F
19.1,H02,H
19.2,L11,L
19.3,F31SA,F
19.4,H03,H
20.0,L38,L
20.1,F31HA,F
20.2,H22,H
20.3,F16SA,F
20.4,L12,L
21.0,L21,L
21.1,H16,H
21.2,M13HA,F
21.3,L33,L
21.4,H30,H
22.0,H05,H
22.1,F16DI,F
22.2,L07,L
22.3,H09,H
22.4,L25,L
23.0,M29HA,F
23.1,L06,L
23.2,H14,H
23.3,F05DI,F
23.4,H08,H
