0.0,H13,H
0.1,M23NE,F
0.2,L28,L
0.3,M10AN,F
0.4,H07,H
1.0,F05AN,F
1.1,H16,H
1.2,L39,L
1.3,M23AN,F
1.4,L35,L
2.0,M29HA,F
2.1,H22,H
2.2,L11,L
2.3,F16AN,F
2.4,L14,L
3.0,M23SA,F
3.1,H10,H
3.2,L02,L
3.3,M10DI,F
3.4,L08,L
4.0,L12,L
4.1,F28AN,F
4.2,H02,H
4.3,M10SA,F
4.4,H08,H
5.0,L22,L
5.1,F05NE,F
5.2,H32,H
5.3,L24,L
5.4,H17,H
6.0,H04,H
6.1,M23DI,F
6.2,L26,L
6.3,M13HA,F
6.4,L21,L
7.0,F28NE,F
7.1,L23,L
7.2,H31,H
7.3,M29DI,F
7.4,H34,H
8.0,L05,L
8.1,H36,H
8.2,F05HA,F
8.3,M13DI,F
8.4,H38,H
9.0,F31AN,F
9.1,L03,L
9.2,H40,H
9.3,M10NE,F
9.4,L27,L
10.0,L25,L
10.1,H12,H
10.2,F31SA,F
10.3,H14,H
10.4,F05DI,F
11.0,H11,H
11.1,L01,L
11.2,M23HA,F
11.3,F28HA,F
11.4,H33,H
12.0,L04,L
12.1,F16SA,F
12.2,H27,H
12.3,L37,L
12.4,H30,H
13.0,F16DI,F
13.1,L17,L
13.2,H09,H
13.3,L07,L
13.4,H19,H
14.0,F28SA,F
14.1,H25,H
14.2,L10,L
14.3,H01,H
14.4,M10HA,F
15.0,H29,H
15.1,M29NE,F
15.2,L20,L
15.3,H23,H
15.4,L18,L
16.0,M29AN,F
16.1,H39,H
16.2,L30,L
16.3,H35,H
16.4,L31,L
17.0,H05,H
17.1,L06,L
17.2,F31DI,F
17.3,H21,H
17.4,F16NE,F
18.0,L33,L
18.1,F31HA,F
18.2,H24,H
18.3,L13,L
18.4,F16HA,F
19.0,F05SA,F
19.1,H37,H
19.2,L19,L
19.3,H15,H
19.4,L15,L
20.0,L38,L
20.1,H28,H
20.2,M13NE,F
20.3,H06,H
20.4,L09,L
21.0,H20,H
21.1,M13SA,F
21.2,L32,L
21.3,H18,H
21.4,L16,L
22.0,L40,L
22.1,H03,H
22.2,M29SA,F
22.3,L36,L
22.4,M13AN,F
23.0,L29,L
23.1,F31NE,F
23.2,H26,H
23.3,L34,L
23.4,F28DI,F
