0.0,F31AN,F
0.1,H36,H
0.2,L02,L
0.3,F05HA,F
0.4,L27,L
1.0,M23HA,F
1.1,L35,L
1.2,H07,H
1.3,M29AN,F
1.4,L23,L
2.0,H15,H
2.1,L19,L
2.2,M29NE,F
2.3,H16,H
2.4,M10HA,F
3.0,H29,H
3.1,L10,L
3.2,M23SA,F
3.3,F05DI,F
3.4,L25,L
4.0,H34,H
4.1,L17,L
4.2,M10DI,F
4.3,L15,L
4.4,M13DI,F
5.0,H20,H
5.1,F28NE,F
5.2,L28,L
5.3,H04,H
5.4,L39,L
6.0,L30,L
6.1,H06,H
6.2,M29DI,F
6.3,L18,L
6.4,H35,H
7.0,F28SA,F
7.1,H08,H
7.2,L21,L
7.3,F31NE,F
7.4,L26,L
8.0,L11,L
8.1,F28HA,F
8.2,H12,H
8.3,L38,L
8.4,H03,H
9.0,F16SA,F
9.1,H31,H
9.2,L12,L
9.3,M13HA,F
9.4,H23,H
10.0,L07,L
10.1,H22,H
10.2,M29SA,F
10.3,L01,L
10.4,H30,H
11.0,M13AN,F
11.1,H14,H
11.2,L34,L
11.3,M13NE,F
11.4,H09,H
12.0,L37,L
12.1,F16HA,F
12.2,H27,H
12.3,M29HA,F
12.4,L06,L
13.0,M23AN,F
13.1,H39,H
13.2,L24,L
13.3,H17,H
13.4,F28DI,F
14.0,L09,L
14.1,H21,H
14.2,F31HA,F
14.3,H25,H
14.4,M23NE,F
15.0,M23DI,F
15.1,H38,H
15.2,L04,L
15.3,H11,H
15.4,M10AN,F
16.0,M13SA,F
16.1,L36,L
16.2,H05,H
16.3,L31,L
16.4,H18,H
17.0,H19,H
17.1,F05NE,F
17.2,L03,L
17.3,M10SA,F
17.4,L32,L
18.0,F16DI,F
18.1,H33,H
18.2,L20,L
18.3,H26,H
18.4,L29,L
19.0,L05,L
19.1,F05AN,F
19.2,H37,H
19.3,F31DI,F
19.4,H40,H
20.0,L40,L
20.1,F28AN,F
20.2,H28,H
20.3,L22,L
20.4,H32,H
21.0,L33,L
21.1,H10,H
21.2,F05SA,F
21.3,L13,L
21.4,F16NE,F
22.0,H13,H
22.1,F31SA,F
22.2,L16,L
22.3,M10NE,F
22.4,H24,H
23.0,L08,L
23.1,H02,H
23.2,F16AN,F
23.3,H01,H
23.4,L14,L
