0.0,M23HA,F
0.1,H35,H
0.2,L27,L
0.3,M13HA,F
0.4,L30,L
1.0,H08,H
1.1,M23DI,F
1.2,L08,L
1.3,F31NE,F
1.4,L22,L
2.0,L36,L
2.1,H30,H
2.2,F28SA,F
2.3,H31,H
2.4,F05DI,F
3.0,H11,H
3.1,F05HA,F
3.2,L24,L
3.3,H05,H
3.4,L31,L
4.0,M23SA,F
4.1,H25,H
4.2,L39,L
4.3,H37,H
4.4,L38,L
5.0,L11,L
5.1,H27,H
5.2,M29DI,F
5.3,L03,L
5.4,H07,H
6.0,L34,L
6.1,M23NE,F
6.2,H29,H
6.3,L02,L
6.4,H15,H
7.0,M10DI,F
7.1,H21,H
7.2,L19,L
7.3,H04,H
7.4,F05NE,F
8.0,L01,L
8.1,M10HA,F
8.2,H19,H
8.3,M29SA,F
8.4,L18,L
9.0,M29HA,F
9.1,H20,H
9.2,L20,L
9.3,H03,H
9.4,L14,L
10.0,H34,H
10.1,L32,L
10.2,M13AN,F
10.3,H22,H
10.4,M10NE,F
11.0,L40,L
11.1,F16AN,F
11.2,H33,H
11.3,L16,L
11.4,H09,H
12.0,L23,L
12.1,F31AN,F
12.2,H12,H
12.3,F05AN,F
12.4,H17,H
13.0,F31DI,F
13.1,L21,L
13.2,H36,H
13.3,M29NE,F
13.4,L28,L
14.0,L10,L
14.1,M13NE,F
14.2,H38,H
14.3,F05SA,F
14.4,H39,H
15.0,L37,L
15.1,F16DI,F
15.2,H18,H
15.3,L25,L
15.4,M10SA,F
16.0,L06,L
16.1,F28DI,F
16.2,H40,H
16.3,L13,L
16.4,H28,H
17.0,F16NE,F
17.1,H14,H
17.2,L09,L
17.3,F28NE,F
17.4,L29,L
18.0,F28HA,F
18.1,L04,L
18.2,H06,H
18.3,F16HA,F
18.4,L15,L
19.0,L12,L
19.1,H01,H
19.2,F28AN,F
19.3,M13SA,F
19.4,L05,L
20.0,H13,H
20.1,L26,L
20.2,F31HA,F
20.3,H16,H
20.4,M13DI,F
21.0,F31SA,F
21.1,L35,L
21.2,H10,H
21.3,M10AN,F
21.4,H23,H
22.0,M23AN,F
22.1,L07,L
22.2,H02,H
22.3,L17,L
22.4,H26,H
23.0,H24,H
23.1,F16SA,F
23.2,L33,L
23.3,M29AN,F
23.4,H32,H
