0.0,F31NE,F,,P010,0.0,F,-11.666666666666629,-91.40148148148148,186,26,-29.33333333333337,-0.09481481481481069,196,34,-0.06666666666671972,-106.951111111111,488,26,17.466666666666697,-13.179259259259254,726,14,29.06666666666672,22.18666666666661,308
18.0,M13NE,F,,P010,18.0,F,-27.466666666666697,-36.69333333333333,202,28,-18.600000000000023,-118.80296296296285,198,36,-41.26666666666665,-30.245925925925917,322,40,7.133333333333326,-154.2637037037037,232,36,19.866666666666674,-54.613333333333344,224
19.0,M10NE,F,,P010,19.0,F,18.399999999999977,-70.63703703703703,184,34,-11.133333333333326,4.740740740740762,572,48,19.06666666666672,-140.61037037037028,196,42,18.466666666666697,-34.60740740740738,920,24,49.0,-16.308148148148177,302
21.0,M23NE,F,,P010,20.1,F,3.7333333333333485,-114.15703703703701,1258,14,0.6666666666666288,-132.93037037037038,212,38,4.600000000000023,-9.102222222222224,182,26,39.866666666666674,3.6977777777777874,346,36,20.533333333333303,-117.28592592592594,412
23.3,F05NE,F,,P010,23.3,F,1.2000000000000455,-122.59555555555545,442,18,13.133333333333326,-94.71999999999997,340,16,29.399999999999977,-73.76592592592584,634,12,21.399999999999977,-92.8237037037037,402,12,29.26666666666665,-96.42666666666668,136
4.0,M29NE,F,,P010,4.0,F,0.7999999999999545,-95.3837037037037,320,26,-16.200000000000045,-38.87407407407409,410,26,-9.466666666666697,-113.30370370370372,376,26,23.799999999999955,-60.11259259259259,184,24,46.200000000000045,-5.1200000000000045,456
4.3,F28NE,F,,P010,4.3,F,37.73333333333335,-55.46666666666664,146,32,-7.7333333333333485,-136.91259259259255,198,24,-24.33333333333337,-95.19407407407408,444,18,-4.600000000000023,-133.97333333333324,186,36,-18.93333333333328,-30.814814814814838,394
7.3,F16NE,F,,P010,7.3,F,-18.799999999999955,-73.19703703703703,330,24,-3.6666666666666288,-118.89777777777778,282,38,-28.26666666666665,0.853333333333353,198,18,-40.93333333333328,12.041481481481469,260,74,12.466666666666697,-119.27703703703696,432
11.3,L09,L,,P010,11.3,L,0.7333333333333485,-137.0074074074074,148,36,-9.133333333333326,-25.884444444444398,838,14,39.5333333333333,-20.385185185185208,284,22,15.0,-3.8874074074074088,1220,14,3.8666666666666742,14.601481481481414,220
12.3,L24,L,,P010,12.3,L,-7.533333333333303,-142.79111111111115,172,40,15.200000000000045,-5.214814814814815,566,22,-4.7333333333333485,50.725925925925935,414,20,20.26666666666665,69.4044444444445,352,16,16.0,98.2281481481482,762
13.2,L08,L,,P010,13.2,L,-4.133333333333326,-165.357037037037,152,50,10.799999999999955,75.66222222222223,150,32,-2.2000000000000455,167.25333333333333,668,26,42.5333333333333,83.0577777777778,838,40,7.666666666666629,-12.041481481481526,216
15.2,L04,L,,P010,15.2,L,2.7999999999999545,-70.63703703703703,278,24,-36.799999999999955,-66.9392592592593,264,22,-11.333333333333371,-50.157037037037014,434,16,7.7333333333333485,-32.237037037037055,592,12,-5.399999999999977,-37.07259259259263,342
17.1,L21,L,,P010,17.1,L,-42.5333333333333,-107.14074074074074,306,20,-12.733333333333348,-73.29185185185173,940,14,-0.7333333333333485,-76.61037037037028,244,14,-9.600000000000023,-64.18962962962962,414,18,9.0,-49.20888888888885,512
17.3,L03,L,,P010,17.3,L,8.0,-209.4459259259259,128,50,9.466666666666697,-52.622222222222206,680,8,4.2000000000000455,-40.20148148148144,578,10,7.399999999999977,-30.625185185185103,292,10,19.200000000000045,-31.762962962962945,344
18.3,L20,L,,P010,18.3,L,-20.93333333333328,-49.49333333333334,290,20,3.2000000000000455,-29.108148148148132,742,20,27.0,-6.637037037037032,314,12,18.399999999999977,-9.481481481481467,992,92,-226.26666666666665,-69.40444444444444,154
19.1,L18,L,,P010,19.1,L,6.0,3.9822222222222763,482,24,35.4666666666667,11.188148148148116,428,18,44.4666666666667,21.048888888888882,688,16,36.0,26.927407407407372,440,14,43.39999999999998,15.454814814814767,342
19.3,L35,L,,P010,19.3,L,-0.33333333333337123,-103.25333333333333,282,18,-7.533333333333303,-75.94666666666672,228,20,-19.73333333333335,-34.891851851851754,234,20,1.1333333333333258,-32.42666666666668,172,28,-32.26666666666665,81.54074074074072,386
2.4,L07,L,,P010,2.4,L,10.666666666666629,-45.321481481481385,252,22,9.666666666666629,0.853333333333353,858,16,34.66666666666663,4.361481481481519,354,12,27.26666666666665,-7.111111111111086,554,12,35.866666666666674,-9.481481481481467,370
20.0,L06,L,,P010,20.0,L,3.533333333333303,-138.71407407407395,508,26,-1.2666666666666515,-82.10962962962964,156,50,-9.466666666666697,-224.33185185185187,248,16,-2.1333333333333258,-254.3881481481481,480,26,10.600000000000023,-74.42962962962963,670
21.2,L15,L,,P010,21.2,L,4.866666666666674,-135.1111111111111,162,40,-2.6000000000000227,-29.39259259259262,396,16,6.06666666666672,-16.40296296296293,276,20,7.466666666666697,15.26518518518526,942,10,-2.9333333333332803,17.540740740740716,332
22.1,L38,L,,P010,22.1,L,4.399999999999977,-134.9214814814814,314,22,27.33333333333337,-93.7718518518518,832,18,29.73333333333335,-67.41333333333336,750,14,19.466666666666697,-51.10518518518518,644,16,26.600000000000023,-70.82666666666665,172
23.4,L13,L,,P010,23.4,L,12.266666666666652,-54.04444444444442,212,24,-10.06666666666672,-51.95851851851842,584,24,12.200000000000045,-20.480000000000018,1238,20,0.9333333333332803,-17.066666666666663,296,26,14.133333333333326,-18.96296296296299,240
