0.0,H40,H
0.1,L38,L
0.2,F16NE,F
0.3,L23,L
0.4,H30,H
1.0,H18,H
1.1,L20,L
1.2,M23SA,F
1.3,H07,H
1.4,L15,L
2.0,H20,H
2.1,L07,L
2.2,M13SA,F
2.3,H24,H
2.4,M10HA,F
3.0,H03,H
3.1,F31AN,F
3.2,L33,L
3.3,M29SA,F
3.4,H14,H
4.0,L10,L
4.1,M29NE,F
4.2,H38,H
4.3,L35,L
4.4,H25,H
5.0,M10NE,F
5.1,L24,L
5.2,H37,H
5.3,L04,L
5.4,M13AN,F
6.0,F16AN,F
6.1,H35,H
6.2,L17,L
6.3,M10SA,F
6.4,L19,L
7.0,H26,H
7.1,L03,L
7.2,M23DI,F
7.3,L06,L
7.4,M29DI,F
8.0,L12,L
8.1,M23NE,F
8.2,H13,H
8.3,L28,L
8.4,H02,H
9.0,H31,H
9.1,L27,L
9.2,F28DI,F
9.3,L30,L
9.4,F31DI,F
10.0,L14,L
10.1,H29,H
10.2,F05NE,F
10.3,H22,H
10.4,F16HA,F
11.0,F05AN,F
11.1,L01,L
11.2,H15,H
11.3,F05HA,F
11.4,L08,L
12.0,F28AN,F
12.1,L37,L
12.2,H09,H
12.3,M13NE,F
12.4,H36,H
13.0,M23HA,F
13.1,L40,L
13.2,H19,H
13.3,L34,L
13.4,F16DI,F
14.0,H23,H
14.1,M10DI,F
14.2,L32,L
14.3,H04,H
14.4,L21,L
15.0,L36,L
15.1,F28SA,F
15.2,H10,H
15.3,M23AN,F
15.4,H17,H
16.0,F05SA,F
16.1,L05,L
16.2,H32,H
16.3,L31,L
16.4,H12,H
17.0,H34,H
17.1,F28HA,F
17.2,L09,L
17.3,H27,H
17.4,M29AN,F
18.0,F05DI,F
18.1,H06,H
18.2,L13,L
18.3,M29HA,F
18.4,H33,H
19.0,H28,H
19.1,M13DI,F
19.2,L11,L
19.3,H39,H
19.4,F28NE,F
20.0,L25,L
20.1,F31HA,F
20.2,H08,H
20.3,L16,L
20.4,H05,H
21.0,L29,L
21.1,H21,H
21.2,M10AN,F
21.3,L22,L
21.4,H16,H
22.0,F31NE,F
22.1,H01,H
22.2,L39,L
22.3,F31SA,F
22.4,L26,L
23.0,L02,L
23.1,M13HA,F
23.2,H11,H
23.3,F16SA,F
23.4,L18,L
