subj,tr_id,tr_type,x1,y1,dur1,gap1,x2,y2,dur2,gap2,x3,y3,dur3,gap3,x4,y4,dur4,gap4,x5,y5,dur5
P020,0.0,F,4.466666666666697,0.9481481481481069,184,20,-30.799999999999955,11.472592592592605,360,26,39.0,13.368888888888932,186,10,48.66666666666663,11.946666666666715,242,202,26.133333333333326,15.26518518518526,152
P020,0.1,H,-28.06666666666672,-120.88888888888891,242,18,-1.2666666666666515,-140.51555555555552,434,44,88.20000000000005,-16.497777777777742,290,20,94.20000000000005,-60.11259259259259,164,38,5.466666666666697,-144.30814814814812,178
P020,0.2,L,-30.200000000000045,-24.367407407407427,192,234,18.66666666666663,-58.59555555555545,488,22,20.399999999999977,-136.34370370370362,336,30,-20.200000000000045,-71.49037037037033,260,26,19.200000000000045,-163.6503703703704,382
P020,0.3,F,-4.866666666666674,6.2577777777778465,178,190,23.200000000000045,-19.911111111111097,144,16,45.26666666666665,-7.964444444444439,238,28,-45.799999999999955,-11.188148148148116,468,26,-109.4666666666667,-39.822222222222194,322
P020,0.4,L,76.13333333333333,-2.2755555555555134,144,168,-12.93333333333328,13.748148148148175,362,46,-12.333333333333371,166.49481481481484,274,24,-14.666666666666629,233.14962962962966,356,44,-10.733333333333348,64.56888888888886,430
P020,1.0,H,-63.73333333333335,22.565925925925853,158,42,68.06666666666672,18.67851851851856,264,32,68.33333333333337,-104.95999999999998,318,26,93.13333333333333,-208.49777777777774,516,36,94.73333333333335,-99.65037037037041,330
P020,1.1,F,4.06666666666672,-13.463703703703743,284,22,-29.866666666666674,9.765925925925899,560,26,36.39999999999998,10.998518518518495,258,212,39.93333333333328,8.533333333333303,328,28,18.06666666666672,-124.87111111111108,224
P020,1.2,L,-28.533333333333303,18.962962962962933,156,44,-7.600000000000023,185.1733333333333,372,20,-5.06666666666672,219.49629629629635,418,26,-2.7999999999999545,116.14814814814815,464,20,-3.533333333333303,170.85629629629636,384
P020,1.3,F,-31.200000000000045,6.9214814814814645,236,26,34.799999999999955,18.86814814814818,200,12,42.73333333333335,13.368888888888932,526,28,113.06666666666672,-16.971851851851852,224,54,-5.666666666666629,171.04592592592587,374
P020,1.4,L,86.5333333333333,30.81481481481478,240,230,20.533333333333303,25.69481481481489,208,20,-7.666666666666629,18.58370370370369,108,44,11.533333333333303,194.9392592592593,344,46,0.6000000000000227,-8.438518518518492,488
P020,2.0,L,30.66666666666663,10.240000000000009,202,44,-0.2666666666666515,145.25629629629634,402,26,4.600000000000023,54.99259259259259,438,16,11.466666666666697,20.38518518518515,568,34,86.0,39.72740740740744,246
P020,2.1,H,-55.60000000000002,-30.340740740740728,158,44,93.93333333333328,-87.22962962962964,228,56,-62.26666666666665,123.06962962962962,408,30,-5.7999999999999545,-25.410370370370345,134,206,9.399999999999977,3.1288888888888096,370
P020,2.2,F,4.399999999999977,-14.696296296296282,300,20,36.73333333333335,-7.964444444444439,190,198,48.133333333333326,-5.4992592592591905,228,32,-40.133333333333326,-16.02370370370369,432,26,-1.3999999999999773,-124.39703703703702,212
P020,2.3,H,0.0,-57.83703703703702,228,44,15.533333333333303,111.8814814814815,212,26,8.93333333333328,196.74074074074076,218,44,-113.33333333333337,215.60888888888883,472,42,-18.26666666666665,162.2281481481482,262
P020,2.4,F,28.06666666666672,-19.247407407407366,250,24,12.866666666666674,-103.1585185185184,404,38,-23.33333333333337,6.2577777777778465,448,28,41.799999999999955,11.662222222222226,344,28,9.93333333333328,-94.90962962962965,354
P020,3.0,H,-50.866666666666674,-157.20296296296289,148,44,-3.0666666666667197,-30.245925925925917,220,42,10.666666666666629,-224.80592592592592,456,48,14.799999999999955,78.50666666666666,490,18,2.6000000000000227,119.56148148148145,562
P020,3.1,F,23.26666666666665,11.093333333333362,176,24,-26.799999999999955,33.27999999999997,290,26,42.66666666666663,42.38222222222225,338,26,15.133333333333326,-80.97185185185185,308,38,0.6666666666666288,38.30518518518511,236
P020,3.2,L,-13.466666666666697,-17.351111111111095,196,40,-4.0,125.8192592592593,394,22,-8.0,165.1674074074075,404,228,-0.2666666666666515,195.4133333333333,282,14,-15.06666666666672,197.30962962962963,492
P020,3.3,H,-3.533333333333303,-70.92148148148141,198,58,52.73333333333335,104.77037037037042,288,44,107.86666666666667,-40.77037037037036,232,42,111.0,134.3525925925926,232,56,-102.06666666666672,141.84296296296293,196
P020,3.4,L,-11.93333333333328,86.85037037037034,306,20,9.533333333333303,76.32592592592596,386,28,-65.4666666666667,82.01481481481483,508,26,2.0,72.81777777777768,264,182,5.533333333333303,106.28740740740739,382
P020,4.0,F,-16.66666666666663,-0.9481481481481637,224,24,35.200000000000045,19.53185185185191,318,164,-29.600000000000023,25.031111111111045,704,28,30.0,18.962962962962933,200,22,43.200000000000045,13.937777777777796,582
P020,4.1,H,-74.79999999999995,-1.8962962962962706,146,42,44.06666666666672,-18.583703703703748,130,28,-66.13333333333333,-88.08296296296294,208,24,-25.33333333333337,-90.3585185185184,162,42,79.0,-182.2340740740741,318
P020,4.2,L,6.399999999999977,71.20592592592595,460,46,-4.2000000000000455,-199.30074074074076,228,22,4.866666666666674,-230.30518518518517,244,12,4.2000000000000455,-219.97037037037035,354,62,5.666666666666629,76.23111111111109,410
P020,4.3,H,1.9333333333332803,115.01037037037031,144,42,-36.26666666666665,-91.40148148148148,264,24,6.2666666666666515,-107.89925925925917,142,50,93.13333333333333,116.62222222222226,314,52,-75.73333333333335,-91.68592592592591,190
